CAN_ID,p_des,p_act,tff_des,tff_act
0x0004,0,0.0200272,-1.02139,0.0183144
0x0004,0.00619308,0.0188828,-0.653366,-0.689865
0x0004,0.0246747,0.0146866,0.48472,-0.885225
0x0004,0.0551534,0.00858307,2.31993,0.531136
0x0004,0.0971485,0.0116348,4.26405,1.97192
0x0004,0.149998,0.0341425,5.75862,2.65568
0x0004,0.212868,0.0806818,6.52861,2.1917
0x0004,0.284767,0.148203,6.67998,1.15385
0x0004,0.364561,0.225643,6.72024,0.250305
0x0004,0.450992,0.309567,6.76165,-0.286936
0x0004,0.542697,0.391203,7.18349,-0.421246
0x0004,0.638229,0.471695,7.85502,-0.152626
0x0004,0.736083,0.551423,8.68155,0.641026
0x0004,0.834714,0.642214,8.98278,0.860806
0x0004,0.932567,0.742161,8.77816,0.604395
0x0004,1.0281,0.849356,8.08784,-0.0183144
0x0004,1.1198,0.958838,7.08945,-1.15385
0x0004,1.20624,1.06146,6.17753,-2.21612
0x0004,1.28603,1.15263,5.51747,-2.46032
0x0004,1.35793,1.23121,5.1046,-1.81319
0x0004,1.4208,1.30026,4.72669,-1.14164
0x0004,1.47365,1.36282,4.17849,-0.579975
0x0004,1.51564,1.42309,3.20431,-0.567766
0x0004,1.54612,1.47841,1.90723,-1.2149
0x0004,1.5646,1.52457,0.477267,-1.76435
0x0004,1.5708,1.55547,-0.788981,-2.00855
0x0004,1.5646,1.5692,-1.79901,-1.89866
0x0004,1.54612,1.56806,-2.66473,-1.42247
0x0004,1.51564,1.55509,-3.5272,-1.0928
0x0004,1.47365,1.53143,-4.42074,-0.811966
0x0004,1.4208,1.49748,-5.33166,-0.738707
0x0004,1.35793,1.45514,-6.31561,-1.00733
0x0004,1.28603,1.40059,-7.12844,-0.873016
0x0004,1.20624,1.33574,-7.81077,-0.885225
0x0004,1.1198,1.26211,-8.37746,-0.714285
0x0004,1.0281,1.17933,-8.74094,-0.616606
0x0004,0.932567,1.0893,-8.9261,-0.360195
0x0004,0.834714,0.994698,-8.99389,-0.0915756
0x0004,0.736083,0.898184,-9.00325,0.201466
0x0004,0.63823,0.799001,-8.83756,0.311356
0x0004,0.542697,0.697146,-8.41962,0.482296
0x0004,0.450992,0.599489,-8.02436,0.787546
0x0004,0.364561,0.504883,-7.52098,1.00733
0x0004,0.284767,0.414855,-6.91927,1.16606
0x0004,0.212868,0.330167,-6.19513,1.31258
0x0004,0.149998,0.251202,-5.3114,1.36142
0x0004,0.0971487,0.181392,-4.39354,1.65446
0x0004,0.0551534,0.1215,-3.43883,1.75214
0x0004,0.0246747,0.071908,-2.43357,1.55678
0x0004,0.00619313,0.033761,-1.41216,1.5812
0x0004,0,0.00705719,-0.359917,1.44689
0x0004,-0.00619308,-0.00782013,0.0891725,1.28816
0x0004,-0.0246747,-0.0112534,-0.659813,0.873016
0x0004,-0.0551533,-0.0082016,-2.33938,-0.335775
0x0004,-0.0971483,-0.0108719,-4.30295,-2.13065
0x0004,-0.149998,-0.0333796,-5.79753,-2.70452
0x0004,-0.212868,-0.0795374,-6.58697,-2.33822
0x0004,-0.284766,-0.145533,-6.81616,-1.14164
0x0004,-0.364561,-0.224117,-6.79805,-0.445665
0x0004,-0.450992,-0.309567,-6.76164,0.347986
0x0004,-0.542696,-0.393492,-7.06674,0.665445
0x0004,-0.638229,-0.474365,-7.71884,0.274725
0x0004,-0.736083,-0.557908,-8.35082,-0.396826
0x0004,-0.834714,-0.64641,-8.76878,-0.763126
0x0004,-0.932567,-0.742924,-8.73923,-0.641026
0x0004,-1.0281,-0.846304,-8.24346,-0.140415
0x0004,-1.1198,-0.952735,-7.40073,0.689865
