CAN_ID,p_des,p_act,tff_des,tff_act
0x0007,-0,-0.0173569,0.791473,-0.46032
0x0007,-0.000387568,-0.0169754,0.756638,0.809525
0x0007,-0.0015498,-0.0169754,0.704337,1.4127
0x0007,-0.00348563,-0.0165939,0.59983,1.34921
0x0007,-0.00619308,-0.015831,0.443205,1.22222
0x0007,-0.00966954,-0.0150681,0.251974,0.904762
0x0007,-0.0139116,-0.0143051,0.0262922,0.587303
0x0007,-0.0189149,-0.0139236,-0.216254,0.206352
0x0007,-0.0246747,-0.0143051,-0.458049,-0.30159
0x0007,-0.0311852,-0.0139236,-0.768418,-0.682541
0x0007,-0.0384401,-0.0139236,-1.09489,-1.28571
0x0007,-0.0464321,-0.0143051,-1.43713,-1.88889
0x0007,-0.0551534,-0.0154495,-1.77741,-2.46032
0x0007,-0.0645953,-0.0165939,-2.15011,-3.19048
0x0007,-0.0747487,-0.0181198,-2.53743,-3.73016
0x0007,-0.0856033,-0.0207901,-2.90412,-4.42857
0x0007,-0.0971485,-0.0242233,-3.2671,-5.12698
0x0007,-0.109373,-0.028038,-3.64325,-5.76191
0x0007,-0.122265,-0.0329981,-3.99719,-6.30159
0x0007,-0.135811,-0.0394831,-4.31105,-6.90476
0x0007,-0.149998,-0.0471125,-4.60157,-7.53968
0x0007,-0.164812,-0.0555048,-4.88551,-8.01587
0x0007,-0.180238,-0.0646601,-5.16223,-8.30159
0x0007,-0.196262,-0.0753412,-5.39624,-8.71429
0x0007,-0.212868,-0.0867853,-5.62163,-9.19048
0x0007,-0.230038,-0.0993748,-5.82021,-9.34921
0x0007,-0.247756,-0.113108,-5.99131,-10.1746
0x0007,-0.266005,-0.127985,-6.13411,-9.88889
0x0007,-0.284767,-0.143625,-6.26518,-10.1429
0x0007,-0.304022,-0.160411,-6.36626,-10.2698
0x0007,-0.323753,-0.17834,-6.43657,-10.3968
0x0007,-0.343939,-0.197032,-6.49259,-10.7143
0x0007,-0.364561,-0.216487,-6.53343,-10.5238
