CAN_ID,p_des,p_act,tff_des,tff_act
0x0004,0,-0.000190735,0.00972748,0.128204
0x0004,0.0015498,-0.000190735,0.0872177,0.0305252
0x0004,0.00619308,-0.000190735,0.319382,0.0671558
0x0004,0.0139116,0.000190735,0.685851,0.347986
0x0004,0.0246747,0.000953674,1.1851,0.775335
0x0004,0.0384401,0.00553131,1.63991,1.03175
0x0004,0.0551534,0.0165939,1.91138,0.885225
0x0004,0.0747487,0.0352869,1.9378,0.653236
0x0004,0.0971485,0.0577936,1.90995,0.238094
0x0004,0.122265,0.0822077,1.92064,-0.140415
0x0004,0.149998,0.105097,2.13995,-0.189255
0x0004,0.180238,0.127985,2.48469,0.189255
0x0004,0.212868,0.151636,2.90994,0.531136
0x0004,0.247756,0.179484,3.2341,0.641026
0x0004,0.284767,0.213435,3.35313,0.579975
0x0004,0.323753,0.25082,3.39581,0.323565
0x0004,0.364561,0.291257,3.37394,-0.0305252
0x0004,0.40703,0.332456,3.39625,0.0427341
0x0004,0.450992,0.373274,3.51263,-0.054945
0x0004,0.496274,0.414092,3.695,-0.0305252
0x0004,0.542697,0.457198,3.81773,0.238094
0x0004,0.590078,0.500687,3.96886,0.128204
0x0004,0.638229,0.547227,4.00289,0.274725
0x0004,0.686962,0.594912,4.00759,0.0671558
0x0004,0.736083,0.644884,3.91504,-0.0671558
0x0004,0.785398,0.695239,3.81272,-0.00610542
0x0004,0.834714,0.743687,3.80767,-0.238094
0x0004,0.883835,0.792134,3.79288,-0.164835
0x0004,0.932567,0.840199,3.77818,-0.00610542
0x0004,0.980719,0.887121,3.79275,-0.0793648
0x0004,1.0281,0.936332,3.65206,0.0793648
0x0004,1.07452,0.984779,3.50238,-0.0915756
0x0004,1.1198,1.03246,3.33455,-0.189255
0x0004,1.16377,1.07824,3.19807,-0.213675
0x0004,1.20624,1.12249,3.06469,-0.311356
0x0004,1.24704,1.16522,2.92609,-0.225885
0x0004,1.28603,1.20603,2.79372,-0.0671558
0x0004,1.32304,1.24533,2.64034,-0.262516
0x0004,1.35793,1.28424,2.40031,-0.201466
0x0004,1.39056,1.32124,2.14463,-0.115995
0x0004,1.4208,1.35634,1.86677,-0.250305
0x0004,1.44853,1.38838,1.61921,-0.372406
0x0004,1.47365,1.41699,1.41584,-0.360195
0x0004,1.49605,1.44293,1.21289,-0.213675
0x0004,1.51564,1.46658,0.986447,-0.128204
0x0004,1.53236,1.48718,0.7715,-0.311356
0x0004,1.54612,1.50587,0.506474,-0.238094
0x0004,1.55688,1.52228,0.208069,-0.213675
0x0004,1.5646,1.53601,-0.10643,-0.396826
0x0004,1.56925,1.54631,-0.399554,-0.409035
0x0004,1.5708,1.55356,-0.691706,-0.384615
0x0004,1.56925,1.55661,-0.924838,-0.286936
0x0004,1.5646,1.5547,-1.05972,-0.128204
0x0004,1.55688,1.55127,-1.27055,-0.0671558
0x0004,1.54612,1.54746,-1.61416,-0.250305
0x0004,1.53236,1.54326,-2.08843,-0.567766
0x0004,1.51564,1.53601,-2.55445,-0.836386
0x0004,1.49605,1.52228,-2.83378,-0.824175
0x0004,1.47365,1.50206,-2.92266,-0.494505
0x0004,1.44853,1.47765,-2.93335,-0.286936
0x0004,1.4208,1.45094,-2.95811,-0.189255
0x0004,1.39056,1.425,-3.14721,-0.103785
0x0004,1.35793,1.39868,-3.43622,-0.152626
0x0004,1.32304,1.3716,-3.79935,-0.311356
0x0004,1.28603,1.34108,-4.09342,-0.470085
0x0004,1.24704,1.30522,-4.21396,-0.518925
0x0004,1.20624,1.26593,-4.25046,-0.311356
0x0004,1.16377,1.22358,-4.21441,0.00610542
0x0004,1.1198,1.182,-4.29187,-0.103785
0x0004,1.07452,1.13851,-4.33806,0.189255
0x0004,1.0281,1.09579,-4.48025,-0.115995
0x0004,0.980719,1.0523,-4.63138,-0.0793648
0x0004,0.932567,1.00805,-4.78214,-0.250305
0x0004,0.883835,0.960364,-4.78685,-0.128204
0x0004,0.834714,0.911155,-4.7332,-0.189255
0x0004,0.785398,0.861181,-4.65033,0.0427341
0x0004,0.736083,0.8093,-4.47019,0.311356
0x0004,0.686962,0.76009,-4.4165,0.140415
0x0004,0.63823,0.712405,-4.42119,0.213675
0x0004,0.590078,0.665866,-4.45527,0.0671558
0x0004,0.542697,0.620089,-4.48967,-0.0793648
0x0004,0.496274,0.572022,-4.35946,0.00610542
0x0004,0.450992,0.524719,-4.21109,-0.103785
0x0004,0.40703,0.477036,-3.97732,0.274725
0x0004,0.364561,0.430495,-3.72721,0.238094
0x0004,0.323753,0.387388,-3.56916,0.506716
0x0004,0.284767,0.345045,-3.35897,0.286936
0x0004,0.247756,0.307279,-3.2834,0.225885
0x0004,0.212868,0.271038,-3.17956,0.225885
0x0004,0.180239,0.235943,-3.02116,0.103785
0x0004,0.149998,0.20161,-2.7822,0.0183144
0x0004,0.122265,0.16804,-2.45682,0.0793648
0x0004,0.0971487,0.13714,-2.13672,0.262516
0x0004,0.0747487,0.109293,-1.83651,0.421246
0x0004,0.0551534,0.0856409,-1.61002,0.494505
0x0004,0.0384401,0.065423,-1.41457,0.470085
0x0004,0.0246747,0.0486383,-1.24682,0.0793648
0x0004,0.0139116,0.0341425,-1.04569,0.250305
0x0004,0.00619313,0.0207901,-0.750639,0.0183144
0x0004,0.0015498,0.00972748,-0.418611,0.286936
0x0004,0,0.00171661,-0.0875473,0.433455
0x0004,-0.0015498,-0.00324249,0.0878769,0.470085
0x0004,-0.00619308,-0.0043869,-0.0859221,0.409035
0x0004,-0.0139115,-0.00400543,-0.4913,0.0915756
0x0004,-0.0246747,-0.00362396,-1.04891,-0.470085
0x0004,-0.0384401,-0.00705719,-1.56209,-0.885225
0x0004,-0.0551533,-0.0169754,-1.89192,-0.958487
0x0004,-0.0747485,-0.0329981,-2.05452,-0.726496
