CAN_ID,p_des,p_act,tff_des,tff_act
0x0004,0,-0.00247955,0.126457,0.152626
0x0004,0.000387568,-0.00247955,0.145836,0.128204
0x0004,0.0015498,-0.00209808,0.184492,0.238094
0x0004,0.00348563,-0.00209808,0.281284,0.311356
0x0004,0.00619308,-0.00209808,0.416656,0.421246
0x0004,0.00966954,-0.00133514,0.551569,0.555555
0x0004,0.0139116,0.00133514,0.627487,0.567766
0x0004,0.0189149,0.00591278,0.644195,0.470085
0x0004,0.0246747,0.0120163,0.620905,0.250305
0x0004,0.0311852,0.0188828,0.596242,0.0793648
0x0004,0.0384401,0.0268936,0.550431,0.0183144
0x0004,0.0464321,0.0341425,0.580339,-0.0305252
0x0004,0.0551534,0.0394831,0.744034,0.103785
0x0004,0.0645953,0.0444422,0.963216,0.286936
0x0004,0.0747487,0.0520716,1.08178,0.409035
0x0004,0.0856033,0.0627527,1.07977,0.396826
0x0004,0.0971485,0.0749598,1.03448,0.0793648
0x0004,0.109373,0.0879297,0.984232,0.115995
0x0004,0.122265,0.100519,0.98675,-0.0915756
0x0004,0.135811,0.111963,1.0804,-0.0427341
0x0004,0.149998,0.123026,1.22556,0.238094
0x0004,0.164812,0.134851,1.36317,0.152626
0x0004,0.180238,0.148584,1.43412,0.421246
0x0004,0.196262,0.164226,1.43761,0.164835
0x0004,0.212868,0.181392,1.3924,0.286936
0x0004,0.230038,0.198558,1.37544,-0.103785
0x0004,0.247756,0.215724,1.38588,0.0915756
0x0004,0.266005,0.23251,1.44226,-0.054945
0x0004,0.284767,0.248913,1.54377,0.140415
0x0004,0.304022,0.266079,1.63108,0.250305
0x0004,0.323753,0.284009,1.70318,0.128204
0x0004,0.343939,0.303845,1.70083,0.299145
0x0004,0.364561,0.324445,1.68135,0.115995
0x0004,0.385598,0.345808,1.64369,-0.054945
0x0004,0.40703,0.366789,1.64525,0.0671558
0x0004,0.428835,0.387388,1.68494,0.054945
0x0004,0.450992,0.407989,1.74218,-0.0427341
0x0004,0.473479,0.428588,1.81596,0.201466
0x0004,0.496274,0.450332,1.84678,0.274725
0x0004,0.519354,0.473221,1.83343,0.103785
0x0004,0.542697,0.496109,1.83328,-0.00610542
0x0004,0.566279,0.520142,1.78673,0.054945
0x0004,0.590078,0.543794,1.7704,0.128204
0x0004,0.614069,0.566682,1.80267,0.0305252
0x0004,0.638229,0.589952,1.82394,-0.0671558
0x0004,0.662535,0.612841,1.87187,0.0671558
0x0004,0.686962,0.636492,1.887,0.201466
0x0004,0.711486,0.660907,1.86804,0.225885
0x0004,0.736083,0.686084,1.81386,0.0793648
0x0004,0.760728,0.710879,1.78156,-0.0671558
0x0004,0.785398,0.735294,1.7699,-0.140415
0x0004,0.810068,0.759708,1.75828,0.00610542
0x0004,0.834714,0.78336,1.7843,0.177046
0x0004,0.859311,0.807012,1.80794,0.152626
0x0004,0.883835,0.831426,1.78902,0.0427341
0x0004,0.908261,0.855841,1.7652,-0.0427341
0x0004,0.932567,0.880636,1.71591,0.00610542
0x0004,0.956728,0.90505,1.67881,0.0915756
0x0004,0.980719,0.929084,1.65266,0.128204
0x0004,1.00452,0.953116,1.61692,-0.0305252
0x0004,1.0281,0.976768,1.58978,-0.0915756
0x0004,1.05144,1.00004,1.57017,0.00610542
0x0004,1.07452,1.02407,1.49852,0.140415
0x0004,1.09732,1.04658,1.49037,0.0671558
0x0004,1.1198,1.06947,1.44742,-0.0915756
0x0004,1.14196,1.09197,1.40743,-0.0305252
0x0004,1.16377,1.11372,1.38871,0.128204
0x0004,1.1852,1.13622,1.31245,0.0671558
0x0004,1.20624,1.15759,1.27479,-0.103785
0x0004,1.22686,1.17895,1.2164,0.00610542
0x0004,1.24704,1.19917,1.1946,0.128204
0x0004,1.26677,1.21901,1.16942,-0.0793648
0x0004,1.28603,1.2396,1.08164,-0.0305252
0x0004,1.30479,1.25906,1.02751,0.140415
0x0004,1.32304,1.27775,0.986664,-0.115995
0x0004,1.34076,1.29683,0.899784,0.00610542
0x0004,1.35793,1.31437,0.863371,0.0305252
0x0004,1.37453,1.33154,0.818161,-0.115995
0x0004,1.39056,1.34794,0.782731,0.152626
0x0004,1.40598,1.36435,0.7175,-0.0915756
0x0004,1.4208,1.37999,0.660559,0.152626
0x0004,1.43499,1.39525,0.591716,-0.140415
0x0004,1.44853,1.41012,0.51023,0.103785
0x0004,1.46142,1.42386,0.454428,-0.152626
0x0004,1.47365,1.43721,0.384726,0.0915756
0x0004,1.48519,1.4498,0.319972,-0.103785
0x0004,1.49605,1.46124,0.279053,0.0305252
0x0004,1.5062,1.47269,0.203026,0.0305252
0x0004,1.51564,1.48299,0.149835,-0.103785
0x0004,1.52436,1.4929,0.0800738,0.0671558
0x0004,1.53236,1.5032,-0.0456085,-0.0183144
0x0004,1.53961,1.51083,-0.0719657,-0.0793648
0x0004,1.54612,1.51846,-0.13554,-0.0427341
0x0004,1.55188,1.52571,-0.217192,0.054945
0x0004,1.55688,1.53182,-0.278354,-0.00610542
0x0004,1.56113,1.53677,-0.319165,0.0427341
0x0004,1.5646,1.54059,-0.33989,0.0915756
0x0004,1.56731,1.54479,-0.418526,0.054945
0x0004,1.56925,1.54974,-0.574648,-0.054945
0x0004,1.57041,1.55394,-0.730544,-0.177046
0x0004,1.5708,1.55547,-0.788981,-0.189255
0x0004,1.57041,1.55509,-0.788903,-0.0793648
0x0004,1.56925,1.55356,-0.769198,0.0793648
0x0004,1.56731,1.55241,-0.807625,0.0427341
0x0004,1.5646,1.55318,-0.981903,-0.0915756
0x0004,1.56113,1.5528,-1.13627,-0.225885
0x0004,1.55688,1.55127,-1.27055,-0.384615
0x0004,1.55188,1.54784,-1.34562,-0.409035
0x0004,1.54612,1.54326,-1.40015,-0.360195
0x0004,1.53961,1.53754,-1.43386,-0.238094
0x0004,1.53236,1.53105,-1.46582,-0.164835
0x0004,1.52436,1.52304,-1.45687,-0.115995
0x0004,1.51564,1.51389,-1.42602,-0.0915756
0x0004,1.5062,1.50664,-1.52846,-0.0183144
0x0004,1.49605,1.49901,-1.64703,-0.0793648
0x0004,1.48519,1.49062,-1.76176,-0.323565
0x0004,1.47365,1.48032,-1.81373,-0.274725
0x0004,1.46142,1.46964,-1.88021,-0.177046
0x0004,1.44853,1.45705,-1.88273,-0.262516
0x0004,1.43499,1.44408,-1.89856,-0.054945
0x0004,1.4208,1.43072,-1.927,-0.140415
0x0004,1.40598,1.41699,-1.96732,-0.054945
0x0004,1.39056,1.40326,-2.03823,-0.115995
0x0004,1.37453,1.38876,-2.10014,-0.177046
0x0004,1.35793,1.37388,-2.17165,-0.177046
0x0004,1.34076,1.35786,-2.21306,-0.189255
0x0004,1.32304,1.3407,-2.22345,-0.201466
0x0004,1.30479,1.32315,-2.24097,-0.0183144
0x0004,1.28603,1.30484,-2.2452,-0.201466
0x0004,1.26677,1.28653,-2.27414,0.0305252
0x0004,1.24704,1.2686,-2.34624,-0.128204
0x0004,1.22686,1.24952,-2.3828,-0.189255
0x0004,1.20624,1.23045,-2.44115,-0.0793648
0x0004,1.1852,1.20985,-2.44239,-0.213675
0x0004,1.16377,1.18887,-2.44396,-0.189255
0x0004,1.14196,1.16789,-2.46421,0.0305252
0x0004,1.1198,1.14576,-2.4436,-0.0427341
0x0004,1.09732,1.1244,-2.47849,-0.201466
0x0004,1.07452,1.10304,-2.52874,-0.0671558
0x0004,1.05144,1.08091,-2.55432,-0.0305252
0x0004,1.0281,1.05879,-2.59307,-0.189255
0x0004,1.00452,1.03513,-2.56598,-0.238094
0x0004,0.980719,1.01186,-2.56911,-0.103785
0x0004,0.956728,0.987831,-2.54301,0.0793648
0x0004,0.932567,0.963798,-2.52532,0.054945
0x0004,0.908262,0.940528,-2.55384,-0.128204
0x0004,0.883835,0.917258,-2.58844,-0.189255
0x0004,0.859311,0.893606,-2.60836,-0.103785
0x0004,0.834714,0.869192,-2.59311,-0.0183144
0x0004,0.810068,0.844778,-2.58027,-0.0305252
0x0004,0.785398,0.8196,-2.5297,-0.0793648
0x0004,0.760728,0.794805,-2.49862,-0.128204
0x0004,0.736083,0.77039,-2.48574,-0.054945
0x0004,0.711486,0.746357,-2.48992,0.0427341
0x0004,0.686962,0.722324,-2.49046,0.0427341
0x0004,0.662535,0.698672,-2.50555,-0.115995
0x0004,0.63823,0.674258,-2.47569,-0.225885
0x0004,0.614069,0.650225,-2.458,-0.128204
0x0004,0.590078,0.625429,-2.39299,0.0305252
0x0004,0.566279,0.601015,-2.3378,0.115995
0x0004,0.542697,0.576982,-2.29121,0.0305252
0x0004,0.519354,0.55333,-2.25216,-0.0793648
0x0004,0.496274,0.530441,-2.23882,-0.054945
